Data Filename;Sample Name;Sample ID;Crotonate;Acetate;Propionate;3-Hydroxybutyrate;Methylsuccinate;Ethylmalonate;Mesaconate;2-Hydroxy-3-Methylsuccinate;Succinate;Methylmalonat;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\150.lcd;;;6.751;;;5.352;4.749;;4.563;9.744;14.106;5.980;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\151.lcd;;;7.857;;;4.675;4.788;;4.366;10.425;;5.442;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\152.lcd;;;5.340;;;4.356;4.826;;5.261;10.195;;6.448;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\153.lcd;;;7.911;;;5.187;4.894;;6.228;10.397;;6.058;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\154.lcd;;;7.147;;;7.261;79.590;;54.662;10.225;4.186;5.956;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\155.lcd;;;6.178;;;7.587;74.247;;50.829;10.580;4.215;5.954;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\156.lcd;;;5.796;;;5.823;77.169;;55.290;10.197;5.242;6.408;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\157.lcd;;;6.855;;;3.816;92.325;;58.298;11.387;4.822;5.650;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\158.lcd;;;6.655;;;2.990;79.842;;59.717;10.766;4.448;6.422;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\159.lcd;;;7.279;;;4.132;19.714;;7.723;10.762;5.276;5.556;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\160.lcd;;;6.247;;;3.580;4.878;;4.418;9.404;5.004;6.258;
C:\LabSolutions\Data\Laura P\MS\180502 Messung Varianten Teil 1\ab 96\161.lcd;;;6.345;;;4.139;10.673;;5.382;10.412;;5.873;
